<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
31/10/18;000000;6267.6300000;6353.2400000;6201.6700000;6304.1800000;4965
01/11/18;000000;6304.1800000;6360.0000000;6293.4400000;6344.0000000;4175
02/11/18;000000;6344.0000000;6378.7700000;6333.9400000;6349.8000000;3970
03/11/18;000000;6349.8000000;6351.7000000;6315.9100000;6331.9600000;2412
04/11/18;000000;6331.9600000;6464.1500000;6313.1700000;6423.2800000;3806
05/11/18;000000;6423.2900000;6439.9900000;6372.0000000;6404.0000000;3773
06/11/18;000000;6404.0000000;6449.6500000;6387.8200000;6448.5000000;5177
07/11/18;000000;6448.5000000;6540.0000000;6448.5000000;6503.1200000;5603
08/11/18;000000;6503.1200000;6511.8800000;6388.0000000;6406.2400000;5083
09/11/18;000000;6406.2400000;6415.0000000;6305.0000000;6334.8900000;4387
10/11/18;000000;6334.8900000;6374.0000000;6327.4600000;6347.4200000;2209
11/11/18;000000;6347.4200000;6360.0000000;6271.1500000;6357.6000000;2144
12/11/18;000000;6357.6000000;6383.5900000;6305.9500000;6327.8700000;3455
13/11/18;000000;6327.8700000;6328.2200000;6252.5000000;6259.3400000;4457
14/11/18;000000;6259.3500000;6293.3800000;5280.9300000;5605.4600000;31805
15/11/18;000000;5605.0100000;5645.0000000;5188.0000000;5579.5200000;21192
16/11/18;000000;5579.5000000;5609.9100000;5410.0000000;5512.2400000;8889
17/11/18;000000;5512.2600000;5544.0000000;5450.8300000;5504.1700000;4551
18/11/18;000000;5503.3400000;5665.0000000;5503.3400000;5560.0000000;4483
19/11/18;000000;5560.0000000;5560.0000000;4670.0500000;4733.5000000;39772
20/11/18;000000;4736.6700000;4889.0000000;4035.0000000;4349.2300000;64689
21/11/18;000000;4349.2400000;4627.5500000;4239.0100000;4545.1100000;27240
22/11/18;000000;4545.1200000;4589.0000000;4238.6900000;4265.3600000;11469
23/11/18;000000;4268.1800000;4366.0500000;4085.7300000;4283.8000000;19141
24/11/18;000000;4283.8000000;4370.7800000;3650.8400000;3774.9900000;19499
25/11/18;000000;3775.0000000;4120.0000000;3456.7800000;3936.6900000;37562
26/11/18;000000;3936.7000000;4076.2500000;3508.0000000;3731.3200000;35226
27/11/18;000000;3731.0100000;3830.0000000;3562.9000000;3775.0000000;22958
28/11/18;000000;3775.0100000;4365.0000000;3775.0000000;4225.0300000;34972
29/11/18;000000;4224.8600000;4414.8900000;4077.8800000;4248.0000000;20097
30/11/18;000000;4247.9900000;4297.7100000;3869.0000000;3976.0000000;19478
01/12/18;000000;3976.0100000;4277.0000000;3910.0800000;4142.0100000;10131
02/12/18;000000;4142.0100000;4266.0000000;4036.0000000;4103.1900000;10704
03/12/18;000000;4102.8000000;4119.9800000;3741.9500000;3833.4700000;16555
04/12/18;000000;3833.4700000;4035.1000000;3732.4300000;3901.8400000;16546
05/12/18;000000;3901.8400000;3912.5300000;3660.0000000;3694.3900000;14303
06/12/18;000000;3694.3900000;3849.0000000;3401.0000000;3433.2600000;25946
07/12/18;000000;3433.3000000;3550.0000000;3212.0000000;3380.0100000;37108
